"symbol","timestamp","anomaly","change","change_percent","high","low","moving_average","open","previous_close","price","volume"
"AAPL","2025-09-02T23:01:59Z","No","'-2.42","'-1.04","230.78","226.97","229.29250000000002","229.7","232.14","229.72","36228190"
"AAPL","2025-09-02T23:01:29Z","No","'-2.42","'-1.04","230.78","226.97","229.29250000000002","229.7","232.14","229.72","36228190"
"AAPL","2025-09-02T23:00:58Z","No","'-2.42","'-1.04","230.78","226.97","229.29250000000002","229.7","232.14","229.72","36228190"
"AAPL","2025-09-02T23:00:28Z","No","'-2.42","'-1.04","230.78","226.97","229.29250000000002","229.7","232.14","229.72","36228190"
"AAPL","2025-09-02T22:59:57Z","No","'-2.42","'-1.04","230.78","226.97","229.29250000000002","229.7","232.14","229.72","36228190"
"AAPL","2025-09-02T20:13:24Z","No","'-2.42","'-1.04","230.78","226.97","229.29250000000002","229.7","232.14","229.72","36228190"
"AAPL","2025-09-02T20:12:53Z","No","'-2.42","'-1.04","230.78","226.97","229.29250000000002","229.7","232.14","229.72","36228190"
"AAPL","2025-09-02T20:12:23Z","No","'-2.42","'-1.04","230.78","226.97","229.29250000000002","229.7","232.14","229.72","36228190"
"AAPL","2025-09-02T20:11:52Z","No","'-2.42","'-1.04","230.78","226.97","229.29250000000002","229.7","232.14","229.72","36228190"
"AAPL","2025-09-02T20:11:21Z","No","'-2.42","'-1.04","230.78","226.97","229.29250000000002","229.7","232.14","229.72","36228190"
"AAPL","2025-09-02T20:10:50Z","No","'-2.42","'-1.04","230.78","226.97","229.29250000000002","229.7","232.14","229.72","36228190"
"AAPL","2025-09-02T20:09:41Z","No","'-2.42","'-1.04","230.78","226.97","229.29250000000002","229.7","232.14","229.72","36228190"
"AAPL","2025-09-02T20:09:10Z","No","'-2.42","'-1.04","230.78","226.97","229.29250000000002","229.7","232.14","229.72","36228190"
"AAPL","2025-09-02T20:08:39Z","No","'-2.42","'-1.04","230.78","226.97","229.29250000000002","229.7","232.14","229.72","36228190"
"AAPL","2025-09-02T20:08:09Z","No","'-2.42","'-1.04","230.78","226.97","229.29250000000002","229.7","232.14","229.72","36228190"
"AAPL","2025-09-02T20:07:38Z","No","'-2.42","'-1.04","230.78","226.97","229.29250000000002","229.7","232.14","229.72","36228190"
"AAPL","2025-09-02T20:07:07Z","No","'-2.42","'-1.04","230.78","226.97","229.29250000000002","229.7","232.14","229.72","36228190"
"AAPL","2025-09-02T20:06:37Z","No","'-2.42","'-1.04","230.78","226.97","229.29250000000002","229.7","232.14","229.72","36228190"
"AAPL","2025-09-02T20:06:06Z","No","'-2.42","'-1.04","230.78","226.97","229.29250000000002","229.7","232.14","229.72","36228190"
"AAPL","2025-09-02T19:57:16Z","No","'-2.51","'-1.08","230.78","226.97","229.27","229.7","232.14","229.63","29538503"
"AAPL","2025-09-02T19:56:46Z","No","'-2.47","'-1.06","230.78","226.97","229.28","229.7","232.14","229.67","29399946"
"AAPL","2025-09-02T19:56:15Z","No","'-2.29","'-0.99","230.78","226.97","229.32500000000002","229.7","232.14","229.85","29262848"
"AAPL","2025-09-02T19:55:44Z","No","'-2.39","'-1.03","230.78","226.97","229.3","229.7","232.14","229.75","29108196"
"AAPL","2025-09-02T19:55:14Z","No","'-2.45","'-1.06","230.78","226.97","229.28500000000003","229.7","232.14","229.69","28979059"
"AAPL","2025-09-02T19:54:13Z","No","'-2.54","'-1.09","230.78","226.97","229.26250000000002","229.7","232.14","229.6","28571817"
"AAPL","2025-09-02T19:53:42Z","No","'-2.59","'-1.12","230.78","226.97","229.25","229.7","232.14","229.55","28510591"
"AAPL","2025-09-02T19:53:11Z","No","'-2.57","'-1.11","230.78","226.97","229.255","229.7","232.14","229.57","28436249"
"AAPL","2025-09-02T19:52:41Z","No","'-2.54","'-1.09","230.78","226.97","229.26250000000002","229.7","232.14","229.6","28363375"
"AAPL","2025-09-02T19:52:10Z","No","'-2.61","'-1.12","230.78","226.97","229.245","229.7","232.14","229.53","28272069"
"AAPL","2025-09-02T19:51:39Z","No","'-2.65","'-1.14","230.78","226.97","229.235","229.7","232.14","229.49","28206449"
"AAPL","2025-09-02T19:51:08Z","No","'-2.69","'-1.16","230.78","226.97","229.22500000000002","229.7","232.14","229.45","28121225"